mep_id;name;profile_url;email;x_url;x_handle;political_group;country;national_party;country_and_national_party
197464;HomeHannah NEUMANN;https://www.europarl.europa.eu/meps/en/197464;;https://twitter.com/HNeumannMEP;HNeumannMEP;Group of the Greens/European Free Alliance;Germany;Bündnis 90/Die Grünen (Germany);"Germany
						 
							 - Bündnis 90/Die Grünen (Germany)"
257039;HomeElena NEVADO DEL CAMPO;https://www.europarl.europa.eu/meps/en/257039;;https://x.com/nevado_campo;nevado_campo;Group of the European People's Party (Christian Democrats);Spain;Partido Popular (Spain);"Spain
						 
							 - Partido Popular (Spain)"
124784;HomeDan NICA;https://www.europarl.europa.eu/meps/en/124784;;;;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Romania;Partidul Social Democrat (Romania);"Romania
						 
							 - Partidul Social Democrat (Romania)"
4289;HomeAngelika NIEBLER;https://www.europarl.europa.eu/meps/en/4289;;https://twitter.com/ANiebler;ANiebler;Group of the European People's Party (Christian Democrats);Germany;Christlich-Soziale Union in Bayern e.V. (Germany);"Germany
						 
							 - Christlich-Soziale Union in Bayern e.V. (Germany)"
124701;HomeLuděk NIEDERMAYER;https://www.europarl.europa.eu/meps/en/124701;;https://twitter.com/LudekNie;LudekNie;Group of the European People's Party (Christian Democrats);Czechia;TOP 09 a Starostové (Czechia);"Czechia
						 
							 - TOP 09 a Starostové (Czechia)"
197802;HomeVille NIINISTÖ;https://www.europarl.europa.eu/meps/en/197802;;https://www.twitter.com/villeniinisto;villeniinisto;Group of the Greens/European Free Alliance;Finland;Vihreä liitto (Finland);"Finland
						 
							 - Vihreä liitto (Finland)"
197734;HomeLefteris NIKOLAOU-ALAVANOS;https://www.europarl.europa.eu/meps/en/197734;;;;Non-attached Members;Greece;Communist Party of Greece (Greece);"Greece
						 
							 - Communist Party of Greece (Greece)"
256883;HomeAleksandar NIKOLIC;https://www.europarl.europa.eu/meps/en/256883;;https://x.com/al_nikolic?s=21&t=1MZBMbr04kiT-InP3qDnGg;al_nikolic;Patriots for Europe Group;France;Rassemblement national (France);"France
						 
							 - Rassemblement national (France)"
257301;HomeCynthia NÍ MHURCHÚ;https://www.europarl.europa.eu/meps/en/257301;;https://x.com/cynimhurchu?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor;cynimhurchu;Renew Europe Group;Ireland;Fianna Fáil Party (Ireland);"Ireland
						 
							 - Fianna Fáil Party (Ireland)"
124836;HomeMaria NOICHL;https://www.europarl.europa.eu/meps/en/124836;;https://x.com/MariaNoichl;MariaNoichl;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Germany;Sozialdemokratische Partei Deutschlands (Germany);"Germany
						 
							 - Sozialdemokratische Partei Deutschlands (Germany)"
257044;HomeRasmus NORDQVIST;https://www.europarl.europa.eu/meps/en/257044;;;;Group of the Greens/European Free Alliance;Denmark;Socialistisk Folkeparti (Denmark);"Denmark
						 
							 - Socialistisk Folkeparti (Denmark)"
